Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,19,2017-11-29,21-132,PHI,,WAS,W (+5),1,40:36,8,16,.500,0,1,.000,15,29,.517,5,13,18,4,2,2,6,3,31,23.8,+11
21,20,2017-11-30,21-133,PHI,@,BOS,L (-11),1,39:56,6,14,.429,0,0,,3,4,.750,4,2,6,7,5,0,5,1,15,15.1,-10
22,21,2017-12-02,21-135,PHI,,DET,W (+5),1,39:11,2,6,.333,0,0,,1,2,.500,3,7,10,6,0,2,4,3,5,5.8,+6
23,22,2017-12-04,21-137,PHI,,PHO,L (-14),1,36:13,9,18,.500,0,0,,2,2,1.000,1,7,8,7,6,0,3,3,20,20.5,-10
24,23,2017-12-07,21-140,PHI,,LAL,L (-3),1,42:34,6,14,.429,0,0,,0,2,.000,0,12,12,15,0,1,4,4,12,13.0,+9
25,24,2017-12-09,21-142,PHI,@,CLE,L (-7),1,35:32,7,13,.538,0,0,,0,0,,0,6,6,10,1,1,7,3,14,10.0,-6
26,25,2017-12-10,21-143,PHI,@,NOP,L (-7),1,35:53,10,16,.625,0,0,,7,9,.778,2,3,5,10,0,1,5,4,27,22.4,-4
27,26,2017-12-12,21-145,PHI,@,MIN,W (+6),1,40:20,3,8,.375,0,0,,1,3,.333,0,3,3,8,1,0,7,0,7,2.3,+3
28,27,2017-12-15,21-148,PHI,,OKC,L (-2),1,51:34,6,10,.600,0,0,,0,2,.000,1,8,9,11,4,0,3,5,12,16.4,-3
29,28,2017-12-18,21-151,PHI,@,CHI,L (-2),1,34:57,9,18,.500,0,1,.000,1,5,.200,4,7,11,10,0,4,3,2,19,19.3,+1
30,29,2017-12-19,21-152,PHI,,SAC,L (-6),1,32:48,5,6,.833,0,0,,3,5,.600,1,11,12,9,3,0,4,3,13,18.1,0
31,30,2017-12-21,21-154,PHI,,TOR,L (-5),1,33:23,9,14,.643,0,0,,2,5,.400,2,4,6,4,0,1,7,3,20,10.5,-8
32,31,2017-12-23,21-156,PHI,@,TOR,L (-16),1,32:37,5,13,.385,0,0,,0,2,.000,2,3,5,6,1,0,3,2,10,5.8,-8
33,32,2017-12-25,21-158,PHI,@,NYK,W (+7),1,32:59,4,8,.500,0,0,,0,2,.000,1,7,8,3,1,1,2,3,8,6.6,-4
34,33,2017-12-28,21-161,PHI,@,POR,L (-4),1,33:51,7,17,.412,0,0,,3,3,1.000,1,3,4,8,1,0,3,4,17,11.5,+5
35,34,2017-12-30,21-163,PHI,@,DEN,W (+5),1,32:04,3,9,.333,0,0,,0,0,,1,5,6,6,0,1,5,5,6,1.0,-11
36,35,2017-12-31,21-164,PHI,@,PHO,W (+13),1,32:07,7,11,.636,0,0,,7,11,.636,0,9,9,6,3,3,5,5,21,19.5,+9
37,36,2018-01-03,21-167,PHI,,SAS,W (+6),1,33:42,8,18,.444,0,1,.000,10,15,.667,1,4,5,4,3,1,4,3,26,17.8,+2
38,37,2018-01-05,21-169,PHI,,DET,W (+36),1,23:01,9,13,.692,0,0,,1,1,1.000,2,2,4,9,2,2,4,4,19,19.6,+16
39,38,2018-01-11,21-175,PHI,,BOS,L (-11),1,28:32,8,12,.667,0,0,,0,0,,0,2,2,3,2,2,3,2,16,13.1,-17
40,39,2018-01-15,21-179,PHI,,TOR,W (+6),1,27:16,5,10,.500,0,0,,2,4,.500,0,1,1,4,2,2,6,5,12,4.7,+1
41,40,2018-01-18,21-182,PHI,@,BOS,W (+9),1,34:09,4,9,.444,0,0,,0,0,,2,5,7,4,1,0,3,3,8,5.8,-3
42,41,2018-01-20,21-184,PHI,,MIL,W (+22),1,30:32,8,13,.615,0,0,,0,0,,1,7,8,9,1,0,4,4,16,14.6,+12
43,42,2018-01-22,21-186,PHI,@,MEM,L (-4),1,35:02,3,8,.375,0,0,,0,0,,1,2,3,7,1,0,4,5,6,2.8,+6
44,43,2018-01-24,21-188,PHI,,CHI,W (+14),1,38:47,6,15,.400,0,0,,7,10,.700,3,14,17,14,0,2,6,4,19,19.6,+18
